Població de fet per municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDTaula,306,,,"1497,1515 i 1553  es refereix a focs",,,,,,,,,,,,,,,,,,,,,,,,,
Font,Censos i padrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Àmbit,Catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escala,Municipis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Període,1497-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,Nom,Classificació,Descripció,,,,,,,,,,,,,,,,,,,,,,,,,,
,Provincia,ProvinciaCat,Província,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comarca,Comarca41,comarca,,,,,,,,,,,,,,,,,,,,,,,,,,
,Municipi,MunicipiCatHist,Municipi,,,,,,,,,,,,,,,,,,,,,,,,,,
,Any,Any1497-91,Any,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dades,A19:E23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIA,COMARCA,MUNICIPI,ANY,POBLACIÓ,,,,,,,,,,,,,,,,,,,,,,,,,
08,21,08003,1940,1542,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1945,1517,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1950,1673,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1955,1675,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1960,1903,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1965,2159,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1970,2300,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1975,2644,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1981,3386,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1986,5260,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08003,1991,6865,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1497,6,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1515,7,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1553,10,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1717,331,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1787,527,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1857,820,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1860,834,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1877,517,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1887,486,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1900,470,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1910,460,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1920,437,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1930,529,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1936,494,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1940,482,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1945,476,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1950,449,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1955,464,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1960,417,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1965,392,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1970,292,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1975,279,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1981,224,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1986,250,,,,,,,,,,,,,,,,,,,,,,,,,1
08,24,08004,1991,249,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1497,24,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1515,24,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1553,33,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1717,469,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1787,407,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1857,882,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1860,861,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1877,837,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1887,761,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1900,716,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1910,772,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1920,851,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1930,1030,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1936,1036,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1940,1026,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1945,1026,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1950,997,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1955,1038,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1960,1143,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1965,1188,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1970,1432,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1975,1639,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1981,1939,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1986,2695,,,,,,,,,,,,,,,,,,,,,,,,,1
08,41,08005,1991,3459,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1497,0,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1515,0,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1553,121,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1717,1245,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1787,4253,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1857,5385,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1860,5219,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1877,4671,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1887,4591,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1900,4618,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1910,4812,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1920,4869,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1930,5702,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1936,5896,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1940,5475,,,,,,,,,,,,,,,,,,,,,,,,,1
08,21,08006,1945,5900,,,,,,,,,,,,,,,,,,,,,,,,,1
