cawiki	Premi	Any	Ref
Gemma Mengual Civil	Premi_Creu_de_Sant_Jordi	2017	http://web.gencat.cat/ca/actualitat/detall/Creus-de-Sant-Jordi-00005
Antonio Hervás Amezcua	Premi_Ciutat_de_Barcelona	2016	http://ajuntament.barcelona.cat/premisciutatbcn/2016/secun1.shtml
